20429 // magic number - today's date
# fits for colllisional rates within H2
# >>refer	H2	collision	Le Bourlot, J., Pineau des Forets, G., & Flower, D.R. 1999, MNRAS, 305, 802
#log(q(v,j to v',j') cm3s-1)=a+b/t+c/t2 where t=(T(K)/1000)+dt, 
#v_upper	j_upper	v_lower	j_lower	a	b	c
0	10	1	2	-1.27E+01	-1.25E+01	2.23E-01
0	10	1	4	-1.20E+01	-1.07E+01	-5.88E-01
1	6	0	0	-1.29E+01	-1.17E+01	1.29E+00
1	6	0	2	-1.20E+01	-1.14E+01	1.75E+00
1	6	0	4	-1.15E+01	-1.06E+01	1.88E+00
1	6	0	6	-1.11E+01	-8.90E+00	1.43E+00
1	6	0	8	-1.12E+01	-4.55E+00	-1.98E+00
1	6	1	0	-1.17E+01	-5.60E+00	-1.18E+00
1	6	1	2	-1.07E+01	-3.85E+00	-2.11E+00
1	6	1	4	-9.89E+00	-1.88E+00	-2.93E+00
1	6	0	10	-1.11E+01	-9.71E+00	1.56E+00  
1	8	0	0	-1.32E+01	-1.51E+01	3.97E+00
1	8	0	2	-1.24E+01	-1.43E+01	3.91E+00
1	8	0	4	-1.18E+01	-1.32E+01	3.71E+00
1	8	0	6	-1.13E+01	-1.17E+01	3.29E+00
1	8	0	8	-1.08E+01	-9.73E+00	2.63E+00
1	8	1	0	-1.24E+01	-9.16E+00	9.31E-01
1	8	1	2	-1.14E+01	-7.46E+00	-4.72E-02
1	8	1	4	-1.06E+01	-5.60E+00	-9.61E-01
1	8	0	10	-1.09E+01	-4.68E+00	-9.68E-01
1	8	1	6	-9.75E+00	-3.71E+00	-1.39E+00
2	0	0	0	-1.37E+01	-1.39E+01	9.23E+00
2	0	0	2	-1.26E+01	-1.65E+01	9.39E+00
2	0	0	4	-1.29E+01	-1.38E+01	5.48E+00
2	0	0	6	-1.30E+01	-1.12E+01	6.43E-01
2	0	0	8	-1.32E+01	-1.18E+01	4.43E-01
2	0	1	0	-1.11E+01	-1.11E+01	5.04E+00
2	0	1	2	-1.12E+01	-7.45E+00	2.20E-01
2	0	1	4	-1.12E+01	-7.53E+00	-2.00E-01
2	0	0	10	-1.33E+01	-1.30E+01	-1.03E+00
2	0	1	6	-1.14E+01	-7.87E+00	-1.89E+00
2	0	1	8	-1.21E+01	-6.39E+00	-8.20E+00
0	12	0	0	-1.45E+01	-1.57E+01	4.25E+00
0	12	0	2	-1.32E+01	-1.42E+01	3.28E+00
0	12	0	4	-1.23E+01	-1.25E+01	2.29E+00
0	12	0	6	-1.15E+01	-1.06E+01	1.24E+00
0	12	0	8	-1.07E+01	-8.50E+00	4.83E-01
0	12	1	0	-1.44E+01	-1.69E+01	3.76E+00
0	12	1	2	-1.33E+01	-1.49E+01	2.36E+00
0	12	1	4	-1.26E+01	-1.25E+01	6.31E-01
0	12	0	10	-9.84E+00	-5.81E+00	1.95E-02
0	12	1	6	-1.19E+01	-1.00E+01	-7.35E-01
0	12	1	8	-1.09E+01	-9.52E+00	1.27E+00
0	12	2	0	-1.49E+01	-1.10E+01	-9.25E+00
2	2	0	0	-1.38E+01	-1.47E+01	7.14E+00
2	2	0	2	-1.33E+01	-1.32E+01	6.56E+00
2	2	0	4	-1.29E+01	-1.30E+01	3.71E+00
2	2	0	6	-1.34E+01	-8.83E+00	-9.77E-01
2	2	0	8	-1.34E+01	-8.86E+00	-2.10E+00
2	2	1	0	-1.21E+01	-7.61E+00	-1.28E+00
2	2	1	2	-1.13E+01	-7.14E+00	-1.04E+00
2	2	1	4	-1.15E+01	-4.30E+00	-3.58E+00
2	2	0	10	-1.32E+01	-1.12E+01	-2.00E+00
2	2	1	6	-1.15E+01	-5.58E+00	-3.16E+00
2	2	1	8	-1.18E+01	-6.38E+00	-5.73E+00
2	2	2	0	-1.02E+01	6.07E-01	-4.24E+00
2	2	0	12	-1.33E+01	-9.40E+00	-9.59E+00
2	4	0	0	-1.40E+01	-1.66E+01	8.15E+00
2	4	0	2	-1.33E+01	-1.57E+01	7.80E+00
2	4	0	4	-1.31E+01	-1.37E+01	6.90E+00
2	4	0	6	-1.30E+01	-1.10E+01	1.16E+00
2	4	0	8	-1.32E+01	-7.33E+00	-1.72E+00
2	4	1	0	-1.25E+01	-8.17E+00	-1.24E+00
2	4	1	2	-1.17E+01	-8.31E+00	-3.61E-01
2	4	1	4	-1.13E+01	-6.83E+00	-1.21E+00
2	4	0	10	-1.27E+01	-1.07E+01	-1.24E-01
2	4	1	6	-1.13E+01	-4.03E+00	-2.98E+00
2	4	1	8	-1.13E+01	-6.67E+00	-1.65E+00
2	4	2	0	-1.08E+01	-2.15E+00	-3.11E+00
2	4	0	12	-1.26E+01	-9.71E+00	-5.15E+00
2	4	2	2	-9.89E+00	-5.18E-01	-3.63E+00
1	10	0	0	-1.42E+01	-1.61E+01	3.21E+00
1	10	0	2	-1.32E+01	-1.53E+01	3.04E+00
1	10	0	4	-1.26E+01	-1.41E+01	2.75E+00
1	10	0	6	-1.20E+01	-1.30E+01	2.60E+00
1	10	0	8	-1.14E+01	-1.12E+01	2.06E+00
1	10	1	0	-1.36E+01	-1.06E+01	4.74E-01
1	10	1	2	-1.25E+01	-9.14E+00	-3.66E-01
1	10	1	4	-1.16E+01	-7.51E+00	-1.20E+00
1	10	0	10	-1.10E+01	-7.27E+00	-9.90E-01
1	10	1	6	-1.08E+01	-5.70E+00	-1.94E+00
1	10	1	8	-9.99E+00	-3.38E+00	-2.60E+00
1	10	2	0	-1.29E+01	-1.15E+01	-2.41E+00
1	10	0	12	-1.06E+01	-2.75E+00	-3.35E+00
1	10	2	2	-1.21E+01	-9.44E+00	-3.55E+00
1	10	2	4	-1.16E+01	-7.27E+00	-4.62E+00
2	6	0	0	-1.38E+01	-2.04E+01	1.15E+01
2	6	0	2	-1.30E+01	-2.03E+01	1.22E+01
2	6	0	4	-1.26E+01	-1.88E+01	1.14E+01
2	6	0	6	-1.24E+01	-1.63E+01	9.80E+00
2	6	0	8	-1.22E+01	-1.25E+01	3.61E+00
2	6	1	0	-1.25E+01	-1.19E+01	2.67E+00
2	6	1	2	-1.17E+01	-1.18E+01	3.44E+00
2	6	1	4	-1.12E+01	-1.11E+01	3.66E+00
2	6	0	10	-1.24E+01	-8.99E+00	1.02E+00
2	6	1	6	-1.08E+01	-9.30E+00	2.82E+00
2	6	1	8	-1.07E+01	-5.49E+00	-9.77E-02
2	6	2	0	-1.12E+01	-6.43E+00	1.39E-01
2	6	0	12	-1.19E+01	-9.51E+00	-1.38E+00
2	6	2	2	-1.03E+01	-4.81E+00	-5.38E-01
2	6	2	4	-9.63E+00	-2.85E+00	-1.21E+00
2	6	1	10	-1.04E+01	-8.64E+00	6.26E-01
0	14	0	0	-1.53E+01	-1.98E+01	6.74E+00
0	14	0	2	-1.41E+01	-1.79E+01	5.34E+00
0	14	0	4	-1.31E+01	-1.60E+01	4.05E+00
0	14	0	6	-1.23E+01	-1.38E+01	2.66E+00
0	14	0	8	-1.15E+01	-1.15E+01	1.43E+00
0	14	1	0	-1.53E+01	-1.82E+01	6.15E+00
0	14	1	2	-1.41E+01	-1.64E+01	4.94E+00
0	14	1	4	-1.32E+01	-1.43E+01	3.58E+00
0	14	0	10	-1.08E+01	-8.88E+00	2.66E-01
0	14	1	6	-1.25E+01	-1.19E+01	2.23E+00
0	14	1	8	-1.18E+01	-9.44E+00	1.13E+00
0	14	2	0	-1.50E+01	-1.78E+01	3.95E+00
0	14	0	12	-9.92E+00	-5.83E+00	-4.97E-01
0	14	2	2	-1.40E+01	-1.58E+01	2.71E+00
0	14	2	4	-1.34E+01	-1.36E+01	1.32E+00
0	14	1	10	-1.12E+01	-6.75E+00	7.49E-01
0	14	2	6	-1.28E+01	-1.14E+01	-1.81E-01
2	8	0	0	-1.41E+01	-2.25E+01	1.22E+01
2	8	0	2	-1.32E+01	-2.28E+01	1.34E+01
2	8	0	4	-1.27E+01	-2.21E+01	1.35E+01
2	8	0	6	-1.22E+01	-2.02E+01	1.22E+01
2	8	0	8	-1.18E+01	-1.69E+01	9.26E+00
2	8	1	0	-1.29E+01	-1.43E+01	4.07E+00
2	8	1	2	-1.21E+01	-1.40E+01	4.44E+00
2	8	1	4	-1.15E+01	-1.31E+01	4.47E+00
2	8	0	10	-1.15E+01	-1.21E+01	3.45E+00
2	8	1	6	-1.10E+01	-1.18E+01	4.19E+00
2	8	1	8	-1.05E+01	-8.81E+00	1.99E+00
2	8	2	0	-1.18E+01	-9.26E+00	1.19E+00
2	8	0	12	-1.14E+01	-7.77E+00	2.50E-01
2	8	2	2	-1.09E+01	-7.46E+00	2.15E-01
2	8	2	4	-1.03E+01	-5.67E+00	-5.25E-01
2	8	1	10	-1.00E+01	-5.17E+00	-2.35E-01
2	8	2	6	-9.63E+00	-3.71E+00	-9.85E-01
2	8	0	14	-1.21E+01	-9.81E+00	1.67E+00
0	3	0	1	-9.74E+00	-2.81E+00	1.24E-01
0	5	0	1	-1.07E+01	-4.54E+00	-6.55E-01
0	5	0	3	-9.81E+00	-2.62E+00	-1.45E+00
0	7	0	1	-1.15E+01	-7.38E+00	2.26E-01
0	7	0	3	-1.06E+01	-5.59E+00	-6.46E-01
0	7	0	5	-9.79E+00	-3.56E+00	-1.28E+00
1	1	0	1	-1.09E+01	-1.22E+01	5.81E+00
1	1	0	3	-1.13E+01	-7.90E+00	3.77E-01
1	1	0	5	-1.13E+01	-8.96E+00	7.16E-01
1	1	0	7	-1.16E+01	-1.01E+01	-7.67E-01
1	3	0	0	-1.14E+01	-1.20E+01	4.25E+00
1	3	0	2	-1.09E+01	-1.15E+01	5.01E+00
1	3	0	4	-1.14E+01	-5.94E+00	-1.37E+00
1	3	0	6	-1.13E+01	-8.97E+00	9.86E-01
1	3	1	1	-9.74E+00	-2.37E+00	-3.47E-01
0	9	0	1	-1.24E+01	-1.03E+01	1.42E+00
0	9	0	3	-1.14E+01	-8.72E+00	5.94E-01
0	9	0	5	-1.06E+01	-6.90E+00	-1.73E-01
0	9	0	7	-9.79E+00	-4.60E+00	-7.42E-01
0	9	1	1	-1.30E+01	-1.14E+01	-1.89E+00
0	9	1	3	-1.23E+01	-9.49E+00	-2.80E+00
1	5	0	1	-1.20E+01	-1.13E+01	1.79E+00
1	5	0	3	-1.15E+01	-1.10E+01	2.46E+00
1	5	0	5	-1.10E+01	-9.75E+00	2.58E+00
1	5	0	7	-1.12E+01	-5.02E+00	-1.76E+00
1	5	1	1	-1.07E+01	-3.81E+00	-1.49E+00
1	5	1	3	-9.84E+00	-1.92E+00	-2.26E+00
1	5	0	9	-1.12E+01	-9.59E+00	1.71E+00
0	11	0	1	-1.34E+01	-1.27E+01	1.69E+00
0	11	0	3	-1.24E+01	-1.09E+01	6.00E-01
0	11	0	5	-1.15E+01	-9.14E+00	-2.89E-01
0	11	0	7	-1.08E+01	-7.01E+00	-1.23E+00
0	11	1	1	-1.35E+01	-1.41E+01	1.14E+00
0	11	1	3	-1.27E+01	-1.22E+01	7.61E-03
0	11	0	9	-9.94E+00	-4.43E+00	-1.85E+00
0	11	1	5	-1.21E+01	-1.05E+01	-6.58E-01
1	7	0	1	-1.25E+01	-1.29E+01	2.34E+00
1	7	0	3	-1.20E+01	-1.21E+01	2.43E+00
1	7	0	5	-1.15E+01	-1.08E+01	2.19E+00
1	7	0	7	-1.10E+01	-8.94E+00	1.51E+00
1	7	1	1	-1.15E+01	-6.46E+00	-8.03E-01
1	7	1	3	-1.07E+01	-4.57E+00	-1.81E+00
1	7	0	9	-1.10E+01	-4.43E+00	-1.72E+00
1	7	1	5	-9.85E+00	-2.58E+00	-2.50E+00
1	7	0	11	-1.11E+01	-9.96E+00	1.51E+00
2	1	0	1	-1.31E+01	-1.54E+01	1.01E+01
2	1	0	3	-1.26E+01	-1.62E+01	8.73E+00
2	1	0	5	-1.30E+01	-1.23E+01	3.46E+00
2	1	0	7	-1.31E+01	-1.10E+01	6.62E-01
2	1	1	1	-1.08E+01	-1.13E+01	5.15E+00
2	1	1	3	-1.12E+01	-7.17E+00	6.16E-02
2	1	0	9	-1.33E+01	-1.19E+01	3.58E-01
2	1	1	5	-1.12E+01	-7.83E+00	2.04E-01
2	1	0	11	-1.37E+01	-1.23E+01	-2.75E+00
2	1	1	7	-1.16E+01	-7.87E+00	-2.57E+00
2	3	0	1	-1.31E+01	-1.73E+01	1.05E+01
2	3	0	3	-1.29E+01	-1.56E+01	9.83E+00
2	3	0	5	-1.26E+01	-1.41E+01	5.54E+00
2	3	0	7	-1.32E+01	-9.17E+00	3.71E-01
2	3	1	1	-1.15E+01	-1.00E+01	2.24E+00
2	3	1	3	-1.10E+01	-9.62E+00	2.90E+00
2	3	0	9	-1.32E+01	-9.84E+00	-2.73E-01
2	3	1	5	-1.12E+01	-5.22E+00	-1.78E+00
2	3	0	11	-1.32E+01	-1.23E+01	-5.04E-02
2	3	1	7	-1.12E+01	-7.60E+00	-4.96E-02
2	3	2	1	-9.69E+00	-2.03E+00	-7.45E-01
1	9	0	1	-1.29E+01	-1.66E+01	5.50E+00
1	9	0	3	-1.23E+01	-1.53E+01	5.09E+00
1	9	0	5	-1.17E+01	-1.41E+01	4.79E+00
1	9	0	7	-1.12E+01	-1.24E+01	4.16E+00
1	9	1	1	-1.22E+01	-1.00E+01	1.46E+00
1	9	1	3	-1.13E+01	-8.43E+00	6.44E-01
1	9	0	9	-1.07E+01	-1.04E+01	3.70E+00
1	9	1	5	-1.05E+01	-6.57E+00	-1.56E-01
1	9	0	11	-1.07E+01	-4.65E+00	-5.30E-01
1	9	1	7	-9.70E+00	-4.60E+00	-4.74E-01
1	9	2	1	-1.27E+01	-9.37E+00	-3.35E+00
1	9	2	3	-1.20E+01	-8.03E+00	-3.60E+00
0	13	0	1	-1.42E+01	-1.71E+01	5.16E+00
0	13	0	3	-1.31E+01	-1.53E+01	3.95E+00
0	13	0	5	-1.22E+01	-1.35E+01	2.78E+00
0	13	0	7	-1.14E+01	-1.14E+01	1.69E+00
0	13	1	1	-1.42E+01	-1.71E+01	3.98E+00
0	13	1	3	-1.33E+01	-1.54E+01	2.89E+00
0	13	0	9	-1.07E+01	-8.93E+00	6.39E-01
0	13	1	5	-1.26E+01	-1.35E+01	1.82E+00
0	13	0	11	-9.86E+00	-6.02E+00	1.68E-02
0	13	1	7	-1.19E+01	-1.15E+01	1.08E+00
0	13	2	1	-1.49E+01	-1.50E+01	-1.21E+00
0	13	2	3	-1.43E+01	-1.23E+01	-3.07E+00
0	13	1	9	-1.12E+01	-1.01E+01	2.14E+00
2	5	0	1	-1.33E+01	-1.90E+01	1.10E+01
2	5	0	3	-1.29E+01	-1.78E+01	1.05E+01
2	5	0	5	-1.28E+01	-1.54E+01	9.19E+00
2	5	0	7	-1.26E+01	-1.26E+01	3.97E+00
2	5	1	1	-1.18E+01	-1.13E+01	3.15E+00
2	5	1	3	-1.13E+01	-1.11E+01	3.78E+00
2	5	0	9	-1.30E+01	-7.78E+00	-2.88E-01
2	5	1	5	-1.08E+01	-9.82E+00	3.55E+00
2	5	0	11	-1.28E+01	-1.05E+01	5.20E-01
2	5	1	7	-1.09E+01	-5.29E+00	-7.23E-01
2	5	2	1	-1.03E+01	-4.73E+00	1.13E-02
2	5	2	3	-9.62E+00	-2.70E+00	-8.07E-01
2	5	1	9	-1.10E+01	-8.79E+00	1.40E+00
2	5	0	13	-1.34E+01	-9.63E+00	-4.85E+00
1	11	0	1	-1.36E+01	-1.88E+01	6.44E+00
1	11	0	3	-1.29E+01	-1.75E+01	5.79E+00
1	11	0	5	-1.23E+01	-1.61E+01	5.29E+00
1	11	0	7	-1.18E+01	-1.44E+01	4.67E+00
1	11	1	1	-1.32E+01	-1.28E+01	2.72E+00
1	11	1	3	-1.22E+01	-1.13E+01	1.85E+00
1	11	0	9	-1.13E+01	-1.25E+01	4.05E+00
1	11	1	5	-1.14E+01	-9.47E+00	9.03E-01
1	11	0	11	-1.08E+01	-9.34E+00	2.48E+00
1	11	1	7	-1.06E+01	-7.45E+00	8.86E-02
1	11	2	1	-1.27E+01	-1.20E+01	-1.44E+00
1	11	2	3	-1.21E+01	-1.00E+01	-2.18E+00
1	11	1	9	-9.77E+00	-5.22E+00	-1.84E-01
1	11	0	13	-1.07E+01	-3.39E+00	-1.28E+00
1	11	2	5	-1.15E+01	-8.47E+00	-2.26E+00
2	7	0	1	-1.35E+01	-2.13E+01	1.21E+01
2	7	0	3	-1.29E+01	-2.07E+01	1.25E+01
2	7	0	5	-1.26E+01	-1.90E+01	1.15E+01
2	7	0	7	-1.24E+01	-1.58E+01	9.08E+00
2	7	1	1	-1.22E+01	-1.29E+01	3.49E+00
2	7	1	3	-1.17E+01	-1.22E+01	3.74E+00
2	7	0	9	-1.23E+01	-1.19E+01	3.28E+00
2	7	1	5	-1.12E+01	-1.11E+01	3.64E+00
2	7	0	11	-1.27E+01	-6.94E+00	-3.72E-01
2	7	1	7	-1.08E+01	-8.71E+00	2.06E+00
2	7	2	1	-1.09E+01	-7.08E+00	2.96E-01
2	7	2	3	-1.03E+01	-5.22E+00	-5.73E-01
2	7	1	9	-1.07E+01	-5.04E+00	-3.06E-01
2	7	0	13	-1.28E+01	-7.81E+00	-2.79E+00
2	7	2	5	-9.62E+00	-3.27E+00	-1.14E+00
2	7	1	11	-1.06E+01	-7.81E+00	-7.06E-01
0	15	0	1	-1.54E+01	-1.97E+01	6.45E+00
0	15	0	3	-1.43E+01	-1.80E+01	5.20E+00
0	15	0	5	-1.33E+01	-1.61E+01	3.85E+00
0	15	0	7	-1.24E+01	-1.40E+01	2.54E+00
0	15	1	1	-1.52E+01	-1.97E+01	5.16E+00
0	15	1	3	-1.42E+01	-1.77E+01	3.75E+00
0	15	0	9	-1.17E+01	-1.16E+01	1.18E+00
0	15	1	5	-1.33E+01	-1.56E+01	2.57E+00
0	15	0	11	-1.09E+01	-8.94E+00	2.26E-02
0	15	1	7	-1.25E+01	-1.32E+01	1.32E+00
0	15	2	1	-1.45E+01	-1.77E+01	3.37E+00
0	15	2	3	-1.38E+01	-1.53E+01	1.81E+00
0	15	1	9	-1.18E+01	-1.06E+01	1.41E-01
0	15	0	13	-1.01E+01	-5.57E+00	-1.05E+00
0	15	2	5	-1.31E+01	-1.30E+01	3.91E-01
0	15	1	11	-1.10E+01	-8.13E+00	-3.46E-01
0	15	2	7	-1.26E+01	-1.06E+01	-1.04E+00
2	9	0	1	-1.41E+01	-2.14E+01	9.70E+00
2	9	0	3	-1.35E+01	-2.13E+01	1.07E+01
2	9	0	5	-1.29E+01	-2.01E+01	1.02E+01
2	9	0	7	-1.25E+01	-1.77E+01	8.50E+00
2	9	1	1	-1.30E+01	-1.25E+01	5.57E-01
2	9	1	3	-1.24E+01	-1.17E+01	6.28E-01
2	9	0	9	-1.22E+01	-1.44E+01	5.89E+00
2	9	1	5	-1.19E+01	-1.08E+01	6.66E-01
2	9	0	11	-1.21E+01	-9.03E+00	-4.05E-01
2	9	1	7	-1.13E+01	-9.33E+00	3.48E-01
2	9	2	1	-1.18E+01	-8.23E+00	-1.17E+00
2	9	2	3	-1.12E+01	-6.23E+00	-2.28E+00
2	9	1	9	-1.09E+01	-6.27E+00	-1.67E+00
2	9	0	13	-1.23E+01	-4.59E+00	-3.10E+00
2	9	2	5	-1.06E+01	-4.28E+00	-3.18E+00
2	9	1	11	-1.04E+01	-2.52E+00	-3.60E+00
2	9	2	7	-9.91E+00	-2.08E+00	-3.88E+00
2	9	0	15	-1.20E+01	-7.34E+00	-2.20E+00
1	13	0	1	-1.44E+01	-2.13E+01	7.39E+00
1	13	0	3	-1.36E+01	-1.99E+01	6.70E+00
1	13	0	5	-1.30E+01	-1.84E+01	6.01E+00
1	13	0	7	-1.25E+01	-1.66E+01	5.21E+00
1	13	1	1	-1.40E+01	-1.67E+01	5.00E+00
1	13	1	3	-1.30E+01	-1.45E+01	3.40E+00
1	13	0	9	-1.19E+01	-1.50E+01	4.86E+00
1	13	1	5	-1.22E+01	-1.24E+01	1.99E+00
1	13	0	11	-1.13E+01	-1.28E+01	4.10E+00
1	13	1	7	-1.15E+01	-1.02E+01	7.45E-01
1	13	2	1	-1.31E+01	-1.53E+01	4.02E+00
1	13	2	3	-1.24E+01	-1.31E+01	2.70E+00
1	13	1	9	-1.07E+01	-7.79E+00	-2.41E-01
1	13	0	13	-1.08E+01	-9.02E+00	2.06E+00
1	13	2	5	-1.19E+01	-1.09E+01	1.57E+00
1	13	1	11	-9.82E+00	-5.35E+00	-4.85E-01
1	13	2	7	-1.13E+01	-8.63E+00	6.42E-01
1	13	0	15	-1.03E+01	-3.25E+00	-1.04E+00
1	13	2	9	-1.09E+01	-6.39E+00	6.93E-01
